date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-06,11277,15962,3609,1690,42,143,86,16
2022-01-07,11277,15962,3609,1690,52,172,82,15
2022-01-08,11297,15982,3619,1690,79,223,103,17
2022-01-09,15925,20763,5382,2110,152,443,179,43
2022-01-10,16077,21086,5396,2149,169,417,182,40
2022-01-11,16435,22011,5483,2176,182,451,171,45
2022-01-12,16722,22726,5574,2203,227,517,217,47
2022-01-13,16866,23171,5619,2211,190,626,210,52
2022-01-14,16896,23176,5621,2211,208,759,238,50
2022-01-15,16912,23196,5625,2211,226,837,241,58
2022-01-16,16912,23196,5625,2211,202,587,277,43
2022-01-17,74881,24418,7260,2406,42463,11158,3621,1472
2022-01-18,69511,24448,7205,2400,38601,11167,3517,1482
2022-01-19,68933,24433,7207,2370,37758,11124,3458,1436
2022-01-20,64577,24419,6947,2257,34668,11097,3354,1399
2022-01-21,60990,24613,6763,2226,32319,11277,3206,1373
2022-01-22,60437,24699,6674,2184,31858,11323,3118,1331
2022-01-23,60783,25044,6839,2239,31452,11278,3280,1405
2022-01-24,60262,25060,6877,2232,31003,11280,3281,1413
2022-01-25,60578,25014,6935,2279,30900,11394,3284,1423
2022-01-26,62045,24589,6861,2220,31617,11193,3124,1352
2022-01-27,64748,24583,7112,2313,32493,11251,3212,1418
2022-01-28,63440,24728,7046,2316,31586,11404,3128,1411
2022-01-29,65079,24780,6999,2286,32018,11363,3198,1398
2022-01-30,64469,24901,6841,2241,31998,11396,3093,1365
2022-01-31,64878,24894,6844,2242,32344,11408,3109,1345
2022-02-01,65682,24894,7035,2323,33716,11361,3213,1403
2022-02-02,65349,24646,7147,2271,33362,11233,3055,1347
2022-02-03,66296,24632,7200,2239,33980,11166,3112,1328
2022-02-04,67167,24636,7294,2234,34377,11259,3215,1323
2022-02-05,67297,24774,7319,2248,34108,11392,3196,1331
2022-02-06,67484,24769,7236,2293,34814,11471,3192,1372
2022-02-07,67073,24710,7255,2292,35063,11497,3292,1369
2022-02-08,67231,24657,7344,2294,35729,11735,3286,1365
2022-02-10,67876,24735,7442,2335,35841,11801,3290,1399
2022-02-11,68294,24733,7417,2351,36135,11833,3291,1410
2022-02-12,67271,24770,7405,2351,35526,11891,3279,1408
2022-02-13,67173,24764,7366,2347,35775,11895,3304,1425
2022-02-14,68117,24858,7407,2348,37061,11985,3381,1415
2022-02-15,68081,24858,7412,2351,37322,11963,3397,1451
2022-02-16,68111,24863,7421,2345,37383,11934,3449,1462
2022-02-17,68043,24863,7402,2345,37452,11931,3423,1452
2022-02-18,68043,24852,7430,2347,37902,11959,3494,1450
2022-02-19,68556,24864,7424,2374,38453,11970,3512,1472
2022-02-20,68612,24958,7430,2391,38671,12129,3547,1485
