date,general_beds_capacity,general_beds_occupancy,hdu_beds_capacity,hdu_beds_occupancy,icu_beds_capacity,icu_beds_occupancy,ventilator_beds_capacity,ventilator_beds_occupancy,admissions
2021-05-29,9273.0,2361.0,6278.0,3139.0,603.0,582.0,643.0,634.0,484
2021-05-30,9393.0,2310.0,6303.0,3033.0,603.0,586.0,645.0,636.0,421
2021-05-31,9162.0,2140.0,6330.0,2871.0,603.0,580.0,645.0,628.0,316
2021-06-01,9173.0,2047.0,6345.0,2684.0,604.0,576.0,651.0,631.0,294
2021-06-02,9022.0,1861.0,6335.0,2453.0,602.0,544.0,652.0,619.0,350
2021-06-03,8983.0,1764.0,6265.0,2233.0,603.0,543.0,654.0,625.0,288
2021-06-04,9001.0,1658.0,6265.0,2018.0,602.0,518.0,650.0,613.0,253
2021-06-05,9004.0,1481.0,6268.0,1933.0,608.0,503.0,652.0,601.0,255
2021-06-06,9004.0,1471.0,6268.0,1786.0,609.0,484.0,653.0,593.0,201
2021-06-07,9013.0,1313.0,6264.0,1559.0,604.0,472.0,651.0,559.0,210
2021-06-08,9013.0,1250.0,6264.0,1454.0,604.0,454.0,651.0,534.0,193
2021-06-09,8974.0,1087.0,6257.0,1323.0,589.0,404.0,647.0,506.0,184
2021-06-10,7300.0,688.0,4922.0,1086.0,589.0,369.0,647.0,507.0,124
2021-06-10,8871.0,946.0,6257.0,1137.0,591.0,345.0,643.0,469.0,124
2021-06-11,,,,,,,,,175
2021-06-12,9113.0,906.0,6272.0,1043.0,601.0,334.0,669.0,459.0,164
2021-06-13,9003.0,890.0,6272.0,1024.0,597.0,333.0,657.0,463.0,145
2021-06-14,8931.0,845.0,6274.0,955.0,597.0,303.0,657.0,440.0,160
2021-06-15,8931.0,815.0,6274.0,901.0,592.0,270.0,662.0,423.0,128
2021-06-16,7482.0,649.0,5371.0,935.0,592.0,255.0,662.0,402.0,94
2021-06-17,7482.0,633.0,5371.0,850.0,592.0,241.0,662.0,383.0,113
2021-06-18,7482.0,622.0,5371.0,795.0,592.0,222.0,662.0,354.0,129
2021-06-19,7482.0,625.0,5371.0,721.0,592.0,215.0,662.0,328.0,117
2021-06-20,7632.0,703.0,5698.0,785.0,592.0,206.0,662.0,314.0,76
2021-06-21,,,,,,,,,83
2021-06-22,3360.0,648.0,3571.0,696.0,591.0,194.0,662.0,282.0,78
2021-06-23,3393.0,614.0,3626.0,665.0,591.0,175.0,662.0,267.0,103
2021-06-24,2954.0,603.0,3526.0,600.0,591.0,163.0,662.0,248.0,91
2021-06-25,2527.0,552.0,3313.0,516.0,552.0,159.0,600.0,232.0,59
2021-06-26,2379.0,531.0,3296.0,509.0,552.0,160.0,575.0,222.0,79
2021-06-27,2379.0,500.0,3296.0,465.0,552.0,159.0,575.0,210.0,63
2021-06-28,2379.0,519.0,3296.0,466.0,552.0,143.0,575.0,203.0,65
2021-06-29,2379.0,519.0,3296.0,466.0,552.0,143.0,575.0,203.0,57
2021-06-30,2242.0,367.0,2873.0,323.0,552.0,138.0,575.0,187.0,63
2021-07-01,2242.0,364.0,2873.0,305.0,552.0,133.0,575.0,186.0,60
2021-07-02,,,,,,,,,47
2021-07-03,2297.0,373.0,2738.0,285.0,552.0,127.0,575.0,175.0,44
2021-07-04,2297.0,368.0,2738.0,275.0,552.0,123.0,575.0,168.0,33
2021-07-05,2297.0,362.0,2738.0,246.0,552.0,112.0,575.0,152.0,40
2021-07-06,,,,,,,,,39
2021-07-07,2297.0,334.0,2738.0,210.0,552.0,94.0,575.0,137.0,32
2021-07-08,,,,,,,,,37
2021-07-09,,,,,,,,,27
2021-07-10,,,,,,,,,29
2021-07-11,2297.0,261.0,2740.0,144.0,552.0,88.0,575.0,122.0,23
2021-07-12,2297.0,257.0,2740.0,139.0,552.0,79.0,575.0,117.0,24
2021-07-13,2459.0,307.0,2993.0,147.0,547.0,72.0,572.0,114.0,22
2021-07-14,2126.0,195.0,2459.0,99.0,547.0,66.0,572.0,108.0,27
2021-07-15,2113.0,184.0,2459.0,104.0,547.0,61.0,572.0,103.0,32
2021-07-16,2126.0,187.0,2464.0,114.0,547.0,54.0,582.0,85.0,46
2021-07-17,2113.0,200.0,2464.0,116.0,547.0,50.0,582.0,75.0,21
2021-07-18,2113.0,197.0,2464.0,114.0,547.0,52.0,582.0,73.0,19
2021-07-19,,,,,,,,,23
2021-07-20,,,,,,,,,17
2021-07-21,2113.0,184.0,2464.0,112.0,547.0,48.0,582.0,63.0,22
2021-07-22,2113.0,181.0,2464.0,113.0,547.0,51.0,582.0,61.0,29
2021-07-23,2113.0,177.0,2464.0,108.0,547.0,50.0,582.0,57.0,10
2021-07-24,2113.0,177.0,2464.0,104.0,547.0,46.0,582.0,61.0,23
2021-07-25,2113.0,175.0,2464.0,107.0,547.0,48.0,582.0,59.0,15
2021-07-26,2113.0,179.0,2464.0,105.0,547.0,44.0,582.0,54.0,12
2021-07-27,2113.0,167.0,2464.0,100.0,547.0,44.0,582.0,54.0,13
2021-07-28,669.0,67.0,831.0,61.0,118.0,12.0,203.0,28.0,15
2021-07-29,,,,,,,,,27
2021-07-30,669.0,75.0,831.0,55.0,118.0,12.0,203.0,28.0,15
2021-07-31,669.0,80.0,831.0,60.0,118.0,10.0,203.0,26.0,30
2021-08-01,669.0,85.0,831.0,60.0,118.0,12.0,203.0,30.0,26
2021-08-02,673.0,80.0,835.0,64.0,124.0,13.0,206.0,32.0,43
2021-08-03,762.0,76.0,891.0,66.0,167.0,12.0,214.0,32.0,17
2021-08-04,669.0,73.0,831.0,65.0,118.0,13.0,203.0,29.0,15
2021-08-05,669.0,78.0,831.0,67.0,118.0,12.0,203.0,27.0,19
2021-08-06,669.0,82.0,831.0,69.0,118.0,9.0,203.0,24.0,19
2021-08-07,669.0,78.0,831.0,66.0,118.0,12.0,203.0,23.0,17
2021-08-08,669.0,70.0,831.0,68.0,118.0,11.0,203.0,21.0,10
2021-08-09,669.0,72.0,831.0,74.0,118.0,10.0,203.0,18.0,12
2021-08-10,669.0,62.0,831.0,70.0,118.0,9.0,203.0,26.0,14
2021-08-11,669.0,48.0,831.0,68.0,118.0,6.0,203.0,24.0,16
2021-08-12,669.0,57.0,831.0,69.0,118.0,9.0,203.0,24.0,29
2021-08-13,934.0,133.0,831.0,65.0,118.0,7.0,203.0,19.0,13
2021-08-14,934.0,132.0,831.0,60.0,118.0,8.0,203.0,18.0,13
2021-08-15,,,,,,,,,11
2021-08-16,,,,,,,,,12
2021-08-17,,,,,,,,,14
2021-08-18,,,,,,,,,13
2021-08-19,,,,,,,,,10
2021-08-20,,,,,,,,,19
2021-08-21,934.0,117.0,831.0,45.0,118.0,18.0,203.0,19.0,15
2021-08-22,934.0,122.0,831.0,46.0,118.0,17.0,203.0,19.0,9
2021-08-23,934.0,116.0,831.0,42.0,118.0,16.0,203.0,16.0,16
2021-08-24,,,,,,,,,7
2021-08-25,934.0,96.0,831.0,43.0,118.0,14.0,203.0,10.0,9
2021-08-26,934.0,93.0,831.0,40.0,118.0,12.0,203.0,10.0,11
2021-08-27,934.0,89.0,831.0,42.0,118.0,11.0,203.0,9.0,9
2021-08-28,934.0,87.0,831.0,40.0,118.0,9.0,203.0,10.0,21
2021-08-29,934.0,92.0,831.0,44.0,118.0,6.0,203.0,12.0,14
2021-08-30,934.0,91.0,831.0,39.0,118.0,11.0,203.0,10.0,22
2021-08-31,,,,,,,,,15
2021-09-01,934.0,93.0,831.0,35.0,118.0,9.0,203.0,11.0,25
2021-09-02,934.0,90.0,831.0,35.0,118.0,9.0,203.0,11.0,4
2021-09-03,934.0,84.0,831.0,35.0,118.0,9.0,203.0,11.0,15
2021-09-04,934.0,81.0,831.0,35.0,118.0,9.0,203.0,11.0,29
2021-09-05,,,,,,,,,26
2021-09-06,934.0,78.0,831.0,31.0,118.0,10.0,203.0,8.0,11
2021-09-07,934.0,74.0,831.0,34.0,118.0,11.0,203.0,8.0,14
2021-09-08,,,,,,,,,14
2021-09-09,,,,,,,,,22
2021-09-10,,,,,,,,,10
2021-09-11,,,,,,,,,8
2021-09-12,934.0,68.0,831.0,36.0,118.0,15.0,203.0,4.0,12
2021-09-13,934.0,68.0,831.0,34.0,118.0,21.0,203.0,6.0,15
2021-09-14,934.0,67.0,831.0,37.0,118.0,18.0,203.0,7.0,9
2021-09-15,934.0,62.0,831.0,39.0,118.0,19.0,203.0,7.0,14
2021-09-16,,,,,,,,,11
2021-09-17,934.0,51.0,831.0,42.0,118.0,10.0,203.0,7.0,9
2021-09-18,934.0,45.0,831.0,37.0,118.0,11.0,203.0,8.0,12
2021-09-19,934.0,41.0,831.0,37.0,118.0,7.0,203.0,8.0,9
2021-09-20,934.0,50.0,831.0,40.0,118.0,6.0,203.0,7.0,27
2021-09-21,934.0,58.0,831.0,35.0,118.0,6.0,203.0,6.0,34
2021-09-22,934.0,86.0,831.0,39.0,118.0,8.0,203.0,11.0,9
2021-09-23,,,,,,,,,12
2021-09-24,934.0,85.0,831.0,33.0,118.0,10.0,203.0,11.0,14
2021-09-25,934.0,92.0,831.0,30.0,118.0,12.0,203.0,13.0,17
2021-09-26,934.0,93.0,831.0,32.0,118.0,10.0,203.0,14.0,5
2021-09-27,934.0,91.0,831.0,33.0,118.0,9.0,203.0,14.0,9
2021-09-28,,,,,,,,,7
2021-09-29,949.0,62.0,831.0,37.0,118.0,10.0,203.0,12.0,10
2021-09-30,,,,,,,,,9
2021-10-01,,,,,,,,,4
2021-10-02,,,,,,,,,7
2021-10-03,,,,,,,,,7
