date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-06,34,566,16,114,0,29,0,4
2022-01-07,34,566,16,114,0,36,0,2
2022-01-08,34,566,16,114,0,45,0,3
2022-01-09,34,566,16,114,0,84,0,4
2022-01-10,34,566,16,114,0,97,0,7
2022-01-11,34,571,15,115,0,94,0,20
2022-01-12,34,571,15,115,0,112,0,6
2022-01-13,35,570,15,115,0,123,0,6
2022-01-14,42,592,15,140,7,108,2,39
2022-01-15,41,603,15,140,6,105,3,42
2022-01-16,393,904,55,180,184,159,20,28
2022-01-17,393,904,55,180,184,178,20,23
2022-01-18,411,904,55,180,184,183,20,24
2022-01-19,411,904,55,180,152,185,28,32
2022-01-20,411,904,55,180,150,189,33,6
2022-01-21,411,904,55,180,153,193,30,10
2022-01-22,411,906,57,178,153,193,32,9
2022-01-23,411,906,57,178,153,190,30,11
2022-01-24,411,906,57,178,153,182,31,9
2022-01-25,411,806,57,178,153,158,31,10
2022-01-26,411,803,60,174,153,157,28,9
2022-01-27,411,803,60,174,153,154,28,13
2022-01-28,0,419,6,92,0,106,0,13
2022-01-29,0,423,6,104,0,104,0,8
2022-01-30,0,165,0,63,0,60,0,5
2022-01-31,0,419,6,91,0,101,0,9
2022-02-01,377,487,45,128,132,83,24,12
2022-02-02,377,322,43,80,137,43,24,2
2022-02-03,0,256,4,41,0,42,0,2
2022-02-04,0,233,0,22,0,31,0,3
2022-02-05,372,472,41,126,94,55,26,9
2022-02-06,0,13,2,4,0,2,0,0
2022-02-07,0,400,0,98,0,49,0,4
2022-02-08,372,492,49,128,81,48,21,4
2022-02-10,372,487,45,143,75,50,19,4
2022-02-11,372,247,41,121,56,37,17,5
2022-02-12,372,242,41,106,50,25,13,6
2022-02-13,0,168,0,65,0,22,0,4
2022-02-14,0,398,0,85,0,31,0,3
2022-02-15,372,320,45,67,25,12,8,0
2022-02-16,0,5,0,15,0,0,0,0
2022-02-17,0,238,0,37,0,10,0,0
2022-02-18,0,233,0,22,0,9,0,0
2022-02-19,0,398,0,85,0,12,0,1
2022-02-20,0,168,0,65,0,3,0,2
2022-02-21,0,403,0,100,0,6,0,3
2022-02-22,0,3,0,2,0,0,0,0
2022-02-23,354,309,41,76,8,1,7,1
2022-02-24,0,8,0,17,0,0,0,0
2022-02-25,0,403,0,100,0,7,0,2
2022-02-26,354,74,41,41,11,0,5,0
2022-02-27,0,165,0,63,0,5,0,1
2022-02-28,0,170,0,78,0,5,0,0
2022-03-01,354,94,49,43,5,0,7,0
2022-03-02,0,400,0,98,0,5,0,5
2022-03-03,0,400,0,98,0,6,0,5
2022-03-04,0,165,0,63,0,1,0,2
2022-03-05,0,170,0,78,0,1,0,1
2022-03-06,0,165,0,63,0,0,0,1
2022-03-07,0,395,0,83,0,0,0,6
2022-03-08,0,395,0,83,0,0,0,4
2022-03-09,0,230,0,20,0,1,0,4
2022-03-10,0,170,0,78,0,1,0,0
2022-03-11,0,400,0,98,0,0,0,6
2022-03-12,0,5,0,15,0,0,0,0
2022-03-13,0,5,0,15,0,0,0,0
2022-03-14,0,170,0,78,0,1,0,1
2022-03-15,0,170,0,78,0,1,0,1
2022-03-16,0,395,0,83,0,2,0,7
2022-03-17,32,474,8,106,1,1,0,6
2022-03-18,0,5,0,15,0,0,0,0
2022-03-19,0,165,0,63,0,2,0,1
2022-03-20,0,0,0,0,0,0,0,0
2022-03-21,0,0,0,0,0,0,0,0
2022-03-22,0,165,0,63,0,1,0,0
2022-03-25,0,170,0,78,0,1,0,0
2022-03-26,0,170,0,78,0,1,0,0
2022-03-27,0,0,0,0,0,0,0,0
2022-03-28,0,5,0,15,0,0,0,0
2022-03-29,0,165,0,63,0,1,0,0
2022-03-30,0,0,0,0,0,0,0,0
2022-03-31,0,165,0,63,0,1,0,0
2022-04-01,0,0,0,0,0,0,0,0
2022-04-02,0,0,0,0,0,0,0,0
2022-04-03,0,5,0,15,0,0,0,0
2022-04-04,0,0,0,0,0,0,0,0
2022-04-05,0,5,0,15,0,0,0,0
2022-04-06,0,0,0,0,0,0,0,0
2022-04-07,0,165,0,63,0,0,0,0
2022-04-08,0,0,0,0,0,0,0,0
2022-04-09,0,5,0,15,0,0,0,0
2022-04-10,0,0,0,0,0,0,0,0
2022-04-11,0,165,0,63,0,1,0,0
2022-04-12,0,165,0,63,0,2,0,0
2022-04-13,0,165,0,63,0,2,0,0
2022-04-14,0,0,0,0,0,0,0,0
2022-04-15,0,165,0,63,0,3,0,0
2022-04-16,0,0,0,0,0,0,0,0
2022-04-17,0,165,0,63,0,3,0,0
2022-04-18,0,165,0,63,0,3,0,0
2022-04-19,0,165,0,63,0,3,0,0
2022-04-20,0,165,0,63,0,2,0,0
2022-04-21,0,165,0,63,0,2,0,0
2022-04-22,0,230,0,20,0,0,0,4
2022-04-23,0,0,0,0,0,0,0,0
2022-04-24,0,5,0,15,0,0,0,0
2022-04-25,0,0,0,0,0,0,0,0
2022-04-26,0,5,0,15,0,0,0,0
2022-04-27,0,170,0,78,0,0,0,0
2022-04-28,0,165,0,63,0,0,0,0
2022-04-29,0,5,0,15,0,0,0,0
2022-04-30,0,0,0,0,0,0,0,0
2022-05-01,0,0,0,0,0,0,0,0
2022-05-02,0,0,0,0,0,0,0,0
2022-05-03,0,0,0,0,0,0,0,0
2022-05-04,0,165,0,63,0,0,0,0
2022-05-05,0,165,0,63,0,0,0,0
2022-05-06,0,170,0,78,0,1,0,0
2022-05-07,0,170,0,78,0,1,0,0
2022-05-08,0,0,0,0,0,0,0,0
2022-05-09,0,165,0,63,0,1,0,0
2022-05-10,0,170,0,78,0,1,0,0
2022-05-11,0,165,0,63,0,1,0,0
2022-05-12,0,170,0,78,0,1,0,0
2022-05-13,0,165,0,63,0,1,0,0
2022-05-14,0,0,0,0,0,0,0,0
2022-05-15,0,170,0,78,0,0,0,0
2022-05-16,0,0,0,0,0,0,0,0
2022-05-17,0,165,0,63,0,0,0,0
2022-05-18,0,165,0,63,0,0,0,0
2022-05-19,0,0,0,0,0,0,0,0
2022-05-20,0,165,0,63,0,0,0,0
2022-05-21,0,165,0,63,0,0,0,0
2022-05-22,0,0,0,0,0,0,0,0
