date,total_normal_beds,total_icu_beds,occupied_normal_beds,occupied_icu_beds
2022-01-07,578,44,44,12
2022-01-08,578,44,48,11
2022-01-09,578,44,49,11
2022-01-10,578,44,63,8
2022-01-11,578,44,63,7
2022-01-12,578,44,64,7
2022-01-13,578,44,93,9
2022-01-14,578,44,94,9
2022-01-15,578,44,91,9
2022-01-16,578,44,93,9
2022-01-17,578,44,94,9
2022-01-18,578,44,96,11
2022-01-19,578,44,96,11
2022-01-20,578,44,246,19
2022-01-21,578,39,250,18
2022-01-22,578,44,256,19
2022-01-23,578,44,248,18
2022-01-24,578,44,246,18
2022-01-25,578,44,252,22
2022-01-26,578,44,247,19
2022-01-27,578,44,242,20
2022-01-28,578,44,239,18
2022-01-29,578,44,241,19
2022-01-30,578,44,239,18
2022-01-31,578,44,237,18
2022-02-01,578,44,238,18
2022-02-02,578,44,237,19
2022-02-03,578,44,238,18
2022-02-04,578,44,237,18
2022-02-05,578,44,235,17
2022-02-06,578,44,236,17
2022-02-07,578,44,235,17
2022-02-08,578,44,236,19
2022-02-10,578,44,235,17
2022-02-11,578,44,235,18
2022-02-12,578,44,234,18
2022-02-13,578,44,233,17
2022-02-14,578,44,233,17
2022-02-15,578,44,233,17
2022-02-16,578,44,233,17
2022-02-17,578,44,233,17
2022-02-18,578,44,233,17
2022-02-19,578,44,233,17
2022-02-20,578,44,233,17
2022-02-21,578,44,233,17
2022-02-22,578,44,233,17
2022-02-23,578,44,233,17
2022-02-24,578,44,233,17
2022-02-25,578,44,233,17
2022-02-26,578,44,233,17
2022-02-27,578,44,233,17
2022-02-28,578,44,233,17
2022-03-01,578,44,233,17
2022-03-02,578,44,233,17
2022-03-03,578,44,233,17
2022-03-04,578,44,233,17
2022-03-05,578,44,233,17
2022-03-06,578,44,233,17
2022-03-07,578,44,233,17
2022-03-08,578,44,233,17
2022-03-09,578,44,233,17
2022-03-10,578,44,233,17
2022-03-11,578,44,233,17
2022-03-12,578,44,233,17
2022-03-13,578,44,233,17
2022-03-14,578,44,233,17
2022-03-15,578,44,233,17
2022-03-16,578,44,233,17
2022-03-17,578,44,233,17
2022-03-18,578,44,233,17
2022-03-19,578,44,233,17
2022-03-20,578,44,233,17
2022-03-21,578,44,233,17
2022-03-22,578,44,233,17
2022-03-23,578,44,233,17
2022-03-24,578,44,233,17
2022-03-25,578,44,233,17
2022-03-26,578,44,233,17
2022-03-27,578,44,233,17
2022-03-28,578,44,233,17
