date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-11,491,984,111,140,135,228,0,8
2022-01-12,491,984,111,140,134,251,0,14
2022-01-13,481,949,111,140,118,175,0,12
2022-01-14,481,949,111,140,114,192,0,14
2022-01-15,847,949,111,140,129,159,0,10
2022-01-16,847,949,111,140,117,145,0,22
2022-01-17,847,949,111,140,116,135,0,23
2022-01-18,847,949,111,140,114,120,0,22
2022-01-19,847,949,111,140,68,116,0,21
2022-01-20,847,949,111,140,95,109,0,19
2022-01-21,847,949,111,140,92,90,0,16
2022-01-22,847,949,111,140,87,74,0,16
2022-01-23,847,949,111,140,84,70,0,13
2022-01-24,847,949,111,140,40,59,0,15
2022-01-25,847,949,111,140,24,55,0,15
2022-01-26,847,949,111,140,20,54,0,16
2022-01-27,847,949,111,140,26,45,0,10
2022-01-28,847,949,111,140,26,28,0,8
2022-01-29,847,949,111,140,26,35,0,9
2022-01-30,847,949,111,140,26,32,0,8
2022-01-31,847,949,111,140,27,29,0,7
