date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-06,88253,24472,7384,2446,53232,11331,3673,1460
2022-01-07,88254,24470,7384,2446,53149,11304,3696,1465
2022-01-08,88115,24493,7365,2419,51857,11327,3704,1474
2022-01-09,88111,24493,7364,2419,51877,11362,3717,1473
2022-01-10,88152,24493,7362,2419,51916,11386,3718,1473
2022-01-11,88154,24291,7366,2419,51876,11262,3727,1470
2022-01-12,85336,24291,7366,2413,50348,11258,3702,1464
2022-01-13,84850,24346,7352,2413,50046,11191,3703,1461
2022-01-14,84589,24368,7318,2413,49785,11192,3693,1455
2022-01-15,78833,24333,7307,2412,46248,11161,3662,1456
2022-01-16,78213,24418,7262,2406,45487,11221,3625,1478
2022-01-17,74881,24418,7260,2406,42463,11158,3621,1472
2022-01-18,69511,24448,7205,2400,38601,11167,3517,1482
2022-01-19,68933,24433,7207,2370,37758,11124,3458,1436
2022-01-20,64577,24419,6947,2257,34668,11097,3354,1399
2022-01-21,60990,24613,6763,2226,32319,11277,3206,1373
2022-01-22,60437,24699,6674,2184,31858,11323,3118,1331
2022-01-23,60783,25044,6839,2239,31452,11278,3280,1405
2022-01-24,60262,25060,6877,2232,31003,11280,3281,1413
