date,total_normal_beds,occupied_normal_beds
2022-01-13,1086,70
2022-01-15,1081,95
2022-01-16,1081,108
2022-01-17,1081,122
2022-01-18,1081,128
2022-01-19,1085,162
2022-01-20,1085,188
2022-01-21,1084,183
2022-01-22,1015,173
2022-01-24,1016,197
2022-01-25,1014,194
2022-01-26,1011,205
2022-01-27,1011,205
2022-01-28,1011,178
2022-01-29,1011,188
2022-01-30,1011,181
2022-01-31,1011,159
2022-02-01,1011,145
2022-02-02,1011,144
2022-02-03,1011,144
2022-02-04,1011,138
2022-02-05,1011,137
2022-02-06,1011,144
2022-02-07,1011,152
2022-02-09,1011,118
2022-02-10,1011,118
2022-02-12,1011,103
