date,total_normal_beds,total_o2_beds,total_icu_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds
2022-01-03,8775,17132,6606,101,38,33
2022-01-04,8958,17371,6709,84,45,32
2022-01-05,13740,24276,10630,89,40,38
2022-01-06,16703,27578,11890,101,66,41
2022-01-07,16256,28058,12033,140,67,66
2022-01-08,16429,27821,12272,214,89,42
2022-01-09,19519,29263,12665,298,107,51
2022-01-10,19668,29481,12724,321,125,41
2022-01-11,20519,30758,12878,384,178,37
2022-01-12,20998,31096,12924,392,230,40
2022-01-13,21341,31594,13146,434,242,45
2022-01-14,22332,31680,13152,456,281,49
2022-01-15,22327,31772,13198,481,274,67
2022-01-16,22424,32303,13551,502,313,72
2022-01-17,22442,32323,13544,530,314,80
2022-01-18,22471,32324,13558,561,308,115
2022-01-19,22583,32459,13597,555,321,111
2022-01-20,22689,32529,13612,568,335,141
2022-01-21,22735,32605,13638,533,352,166
2022-01-22,22735,32465,13638,510,372,193
2022-01-23,22798,32435,13605,541,403,208
2022-01-24,22813,32450,13615,555,442,216
2022-01-25,22829,32463,13617,547,435,236
2022-01-26,22829,32476,13621,537,430,244
2022-01-27,22853,32489,13634,524,422,254
2022-01-28,22870,32480,13634,531,411,268
2022-01-29,22870,32480,13634,480,374,262
2022-01-30,22876,32480,13634,453,368,263
2022-01-31,22876,32480,13634,479,346,271
2022-02-01,22876,32480,13634,448,344,264
2022-02-02,22876,32480,13634,404,317,259
2022-02-03,22876,32480,13634,392,314,226
2022-02-04,22946,32480,13634,362,305,232
2022-02-05,22946,32480,13634,350,320,225
2022-02-06,22946,32500,13654,310,317,231
2022-02-07,22946,32500,13654,313,277,246
2022-02-08,22946,32500,13654,265,263,223
2022-02-10,22946,32500,13654,232,228,203
2022-02-11,22946,32500,13654,219,214,193
2022-02-12,22946,32500,13654,206,206,179
2022-02-13,22946,32500,13654,177,216,160
2022-02-14,22946,32500,13654,159,171,127
2022-02-15,22946,32500,13654,157,125,103
2022-02-16,22946,32500,13654,151,115,83
2022-02-17,22946,32500,13654,128,110,74
2022-02-18,22946,32500,13654,114,115,72
2022-02-19,22946,32500,13654,118,102,70
2022-02-20,22942,32482,13646,117,93,72
2022-02-21,22942,32482,13646,104,96,65
2022-02-22,22942,32482,13646,85,90,59
2022-02-23,22942,32482,13646,77,86,59
2022-02-24,21948,32069,13545,64,78,47
2022-02-25,19563,32057,13545,58,77,46
2022-02-26,18732,31886,13545,63,76,47
2022-02-27,18732,31886,13545,68,67,44
2022-02-28,18732,31886,13545,65,69,43
2022-03-01,17035,30777,13058,55,58,37
2022-03-02,16945,30777,13058,50,55,36
2022-03-03,16607,30590,13053,53,52,33
2022-03-04,16051,30503,13005,44,48,36
2022-03-05,15870,30264,13000,44,43,36
2022-03-06,14302,29945,12960,41,30,34
2022-03-07,14302,29945,12960,39,40,32
2022-03-08,14302,29945,12960,38,33,32
2022-03-09,14287,29937,12948,33,35,29
2022-03-10,14269,29895,12948,32,33,29
2022-03-11,13769,29569,12944,30,32,28
2022-03-12,9883,27784,12888,22,22,19
2022-03-13,9063,27289,12888,22,21,19
2022-03-14,8781,27236,12888,22,17,20
2022-03-15,8601,26990,12888,22,16,22
2022-03-16,8601,26990,12888,24,13,20
2022-03-17,8601,26990,12888,25,13,18
2022-03-18,8601,26990,12888,25,13,17
2022-03-19,8601,26990,12888,19,12,20
2022-03-20,8601,26990,12888,19,11,22
2022-03-21,8601,26990,12888,18,11,21
2022-03-22,8601,26990,12888,21,8,18
