date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-06,896,5747,2452,768,81,1223,890,251
2022-01-07,896,5747,2452,768,81,1223,890,251
2022-01-08,896,5750,2433,768,81,1229,872,241
2022-01-09,896,5750,2433,768,81,1229,872,241
2022-01-10,896,5750,2433,768,81,1232,872,241
2022-01-11,896,5750,2433,768,81,1232,872,241
2022-01-12,896,5750,2433,768,81,1232,872,241
2022-01-13,896,5750,2443,758,81,1229,876,241
2022-01-14,896,5734,2441,758,81,1225,875,241
2022-01-15,891,5739,2441,758,81,1221,876,241
2022-01-16,891,5739,2441,758,81,1221,876,241
2022-01-17,891,5739,2441,758,81,1222,876,241
2022-01-18,891,5739,2441,758,81,1226,875,241
2022-01-19,891,5739,2441,758,81,1226,878,241
2022-01-20,891,5739,2441,758,81,1226,880,241
2022-01-22,891,5739,2441,758,81,1226,881,241
2022-01-23,891,5739,2441,758,81,1226,880,241
2022-01-24,891,5739,2441,758,81,1226,882,241
2022-01-26,891,5739,2441,758,81,1226,882,241
2022-01-27,891,5739,2441,758,81,1227,881,241
2022-01-28,891,5739,2441,758,81,1225,882,241
