date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-06,4418,5179,1087,793,12,44,18,9
2022-01-07,4418,5179,1087,793,13,44,18,9
2022-01-08,4418,5179,1087,793,10,59,20,11
2022-01-09,4418,5179,1087,793,11,56,19,11
2022-01-10,4418,5179,1087,793,16,58,20,13
2022-01-11,4418,5179,1087,793,18,54,19,13
2022-01-12,4418,5179,1087,793,22,45,22,14
2022-01-13,4418,5179,1087,793,28,47,33,14
2022-01-14,4418,5181,1091,798,28,53,40,15
2022-01-15,4418,5181,1091,798,27,55,38,14
2022-01-16,4418,5181,1091,798,25,61,38,11
2022-01-17,4418,5181,1091,798,26,58,37,11
2022-01-18,4418,5181,1091,798,28,64,51,16
2022-01-19,4418,5181,1091,798,26,70,53,18
2022-01-20,4418,5181,1091,798,36,75,54,18
2022-01-21,4418,5181,1091,798,30,68,52,15
2022-01-22,4418,5181,1091,798,31,72,62,15
2022-01-23,4418,5181,1091,798,30,73,81,16
2022-01-24,4418,5181,1091,798,18,77,80,15
2022-01-25,4418,5181,1091,798,33,78,91,20
2022-01-26,4418,5181,1091,798,32,86,88,20
2022-01-27,4418,5181,1091,798,24,87,84,21
2022-01-28,4418,5181,1091,798,28,90,78,19
2022-01-29,4418,5181,1091,798,20,91,78,17
2022-01-30,4418,5181,1091,798,20,92,82,20
2022-01-31,4418,5181,1091,798,24,91,84,20
2022-02-01,4418,5181,1091,798,15,85,74,18
2022-02-02,4418,5181,1091,798,14,77,71,17
2022-02-03,4418,5181,1091,798,10,78,69,18
2022-02-04,4418,5181,1091,798,9,81,70,18
2022-02-05,4418,5181,1091,798,9,78,65,19
2022-02-06,4418,5181,1091,798,9,78,63,19
2022-02-07,4418,5181,1091,798,7,77,61,19
2022-02-08,4418,5181,1091,798,7,76,58,20
2022-02-10,4418,5181,1091,798,-1,65,50,16
2022-02-11,4418,5181,1091,798,1,61,44,16
2022-02-12,4418,5181,1091,798,0,62,42,15
2022-02-13,4418,5181,1091,798,0,63,40,15
2022-02-14,4418,5181,1091,798,2,53,37,15
2022-02-15,4418,5181,1091,798,2,50,31,14
2022-02-16,4418,5181,1091,798,2,48,30,13
2022-02-17,4418,5181,1091,798,1,46,31,13
2022-02-18,4418,5181,1091,798,0,42,28,12
2022-02-19,4418,5181,1091,798,0,42,27,11
2022-02-20,4418,5181,1091,798,0,42,27,11
2022-02-21,4418,5181,1091,798,-1,40,27,12
2022-02-22,4418,5181,1091,798,-2,39,27,11
2022-02-23,4418,5181,1091,798,-2,39,27,11
2022-02-24,4418,5181,1091,798,-3,38,27,11
2022-02-25,4418,5181,1091,798,-3,38,21,12
2022-02-26,4418,5181,1091,798,-3,37,21,12
2022-02-27,4418,5181,1091,798,-3,37,21,12
2022-02-28,4418,5181,1091,798,-3,37,21,12
2022-03-01,4418,5181,1091,798,-3,37,21,12
2022-03-02,4418,5181,1091,798,-3,36,21,12
2022-03-03,4418,5181,1091,798,-3,35,21,11
2022-03-04,4418,5181,1091,798,1,1,0,1
2022-03-05,4418,5181,1091,798,1,1,0,1
2022-03-06,4418,5181,1091,798,1,1,0,1
2022-03-07,4418,5181,1091,798,1,1,0,1
2022-03-08,4418,5181,1091,798,1,1,0,1
2022-03-09,4418,5181,1091,798,1,1,0,1
2022-03-10,4418,5181,1091,798,0,1,0,0
2022-03-11,4418,5181,1091,798,0,1,0,0
2022-03-12,4418,5181,1091,798,0,1,0,0
2022-03-13,4418,5181,1091,798,0,1,0,0
2022-03-14,4418,5181,1091,798,0,1,0,0
2022-03-15,4418,5181,1091,798,0,1,0,0
2022-03-16,4418,5181,1091,798,0,1,0,0
2022-03-17,4418,5181,1091,798,0,1,0,0
2022-03-18,4418,5181,1091,798,0,1,0,0
2022-03-19,4418,5181,1091,798,0,1,0,0
2022-03-20,4418,5181,1091,798,0,1,0,0
2022-03-21,4418,5181,1091,798,0,1,0,0
2022-03-22,4418,5181,1091,798,0,1,0,0
2022-03-23,4418,5181,1091,798,0,1,0,0
2022-03-24,4418,5181,1091,798,0,1,0,0
2022-03-25,4418,5181,1091,798,0,1,0,0
2022-03-26,4418,5181,1091,798,0,1,0,0
2022-03-27,4418,5181,1091,798,0,1,0,0
2022-03-28,4418,5181,1091,798,0,1,0,0
2022-03-29,4418,5181,1091,798,0,1,0,0
2022-03-30,4418,5181,1091,798,0,1,0,0
2022-03-31,4418,5181,1091,798,0,1,0,0
2022-04-01,4418,5181,1091,798,0,1,0,0
