date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-03,10738,10328,1591,1335,1413,1547,228,341
2022-01-04,10738,10328,1591,1335,1418,1562,233,347
2022-01-05,10738,10293,1586,1325,1433,1585,232,350
2022-01-06,10748,10249,1583,1321,1452,1626,230,348
2022-01-07,10748,10249,1583,1321,1461,1658,234,353
2022-01-08,10650,10033,1577,1298,1482,1772,236,346
2022-01-09,10544,9938,1570,1282,1501,1757,241,361
2022-01-10,10544,9938,1570,1282,1544,1821,243,375
2022-01-11,10512,9992,1571,1249,1594,1826,243,308
2022-01-12,10544,9992,1571,1250,1688,1842,245,312
2022-01-13,10544,9992,1571,1250,1725,1884,252,313
2022-01-14,10547,9996,1571,1250,1714,1970,262,322
