date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-07,5391,10746,1423,1575,704,1284,212,72661
2022-01-10,5267,10892,1241,1553,983,2286,210,378
2022-01-13,6179,11924,1438,1718,864,1592,237,72696
2022-01-14,5478,10899,1171,1611,721,1396,214,72676
2022-01-15,4950,10331,1152,1582,741,1643,193,340
2022-01-16,5475,11292,1406,1675,715,1415,218,346
2022-01-17,4349,9601,1082,1491,673,1359,212,72632
2022-01-19,5717,11326,1371,1618,683,1652,220,347
2022-01-20,5210,10603,1215,1568,750,1546,227,72672
2022-01-21,5398,10854,1348,1606,856,1789,312,72709
2022-01-22,4774,9971,1180,1532,725,1554,294,72689
2022-01-23,4382,9706,1177,1546,702,1481,287,72677
2022-01-25,4973,10135,1206,1578,660,1555,272,385
2022-01-26,4631,9951,1188,1568,704,1545,270,72710
2022-01-27,3688,8119,1043,1392,544,1344,265,359
