date,total_normal_beds,total_o2_beds,total_icu_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds
2022-01-06,22038,21885,11887,356,514,428
2022-01-07,22168,21950,11894,385,531,421
2022-01-08,22168,21950,11894,407,551,427
2022-01-09,22172,21960,11904,442,564,427
2022-01-10,22172,21960,11904,445,569,423
2022-01-11,22172,21960,11904,507,610,456
2022-01-12,22172,21960,11906,557,637,460
2022-01-13,22191,21987,11916,633,711,464
2022-01-14,22268,22020,11923,692,815,479
2022-01-15,22268,22020,11923,692,825,497
2022-01-16,22273,22020,11923,704,893,549
