date,total_normal_beds,occupied_normal_beds
2022-01-14,2518,2475
2022-01-15,4460,4353
2022-01-16,4971,4813
2022-01-17,5363,5132
2022-01-18,7012,6721
2022-01-19,7347,7063
2022-01-20,5663,5383
2022-01-21,5892,5597
2022-01-22,5782,5487
2022-01-23,5027,4721
2022-01-24,4846,4544
2022-01-25,4857,4563
2022-01-26,4748,4471
2022-01-27,4504,4258
2022-01-28,3861,3649
2022-01-29,4193,3984
2022-01-30,4647,4436
2022-01-31,4512,4316
2022-02-01,4112,3916
2022-02-02,4307,4129
2022-02-03,4290,4129
2022-02-04,4264,4107
2022-02-05,4196,4053
2022-02-06,4082,3954
2022-02-07,3800,3682
2022-02-08,4223,4113
2022-02-10,4909,4811
2022-02-11,4399,4325
2022-02-12,1382,1374
2022-02-13,3927,3863
2022-02-14,4090,4031
2022-02-15,3872,3814
2022-02-16,4159,4108
2022-02-17,3950,3905
2022-02-18,4430,4390
2022-02-19,1920,1893
2022-02-20,3460,3424
2022-02-21,3408,3372
2022-02-22,3569,3538
2022-02-23,3609,3580
2022-02-24,3711,3688
2022-02-25,3711,3694
2022-02-26,3794,3778
2022-02-27,3534,3521
2022-02-28,3054,3042
2022-03-01,2912,2900
2022-03-02,3102,3093
2022-03-03,3142,3134
2022-03-04,3481,3473
2022-03-05,3371,3367
2022-03-06,3169,3162
