date,total_normal_beds,total_o2_beds,total_icu_beds,total_ventilator_beds,occupied_normal_beds,occupied_o2_beds,occupied_icu_beds,occupied_ventilator_beds
2022-01-06,5196,6754,1396,901,14,123,61,43
2022-01-07,5883,6982,1444,945,20,128,61,43
2022-01-08,5883,6982,1444,945,29,134,61,43
2022-01-09,5966,7005,1449,948,36,145,61,44
2022-01-10,5626,6531,1402,934,72,96,34,42
2022-01-11,5626,6531,1402,934,110,104,35,42
2022-01-12,5626,6531,1402,934,132,103,35,42
2022-01-13,6126,6907,1415,928,205,124,60,39
2022-01-14,6777,6925,1434,943,212,128,47,38
2022-01-15,6912,7000,1418,940,204,121,37,36
2022-01-16,7037,7050,1418,930,223,150,41,32
2022-01-17,7037,7030,1418,930,213,159,41,32
2022-01-18,7022,6937,1407,963,189,190,63,37
2022-01-19,7022,6937,1407,963,189,245,68,35
2022-01-20,6604,6937,1407,963,120,228,84,25
2022-01-21,6254,6903,1407,908,131,237,88,20
2022-01-22,6254,6903,1407,908,133,242,91,56
2022-01-23,6254,6903,1407,908,147,239,90,27
2022-01-24,6275,6902,1420,911,176,247,102,24
2022-01-25,6275,6902,1422,913,165,263,108,30
2022-01-26,6245,6886,1414,905,163,264,106,28
2022-01-27,6270,6862,1414,905,172,239,101,20
2022-01-28,6270,6862,1414,905,123,235,107,19
2022-01-29,6270,6862,1414,905,110,243,136,31
2022-01-30,6270,6862,1414,905,100,266,105,19
2022-01-31,6270,6942,1412,907,98,216,111,15
2022-02-01,6270,6942,1413,907,102,212,109,14
2022-02-02,6270,6942,1413,907,79,259,102,18
2022-02-03,6270,6942,1413,907,74,259,103,19
2022-02-04,6270,6942,1413,907,72,259,103,19
2022-02-05,6270,6942,1413,907,62,227,95,35
2022-02-06,6270,6942,1413,907,59,222,92,34
2022-02-07,6270,6942,1413,907,54,207,93,32
2022-02-08,6270,6942,1413,907,45,192,93,31
2022-02-10,6270,6942,1413,907,41,179,92,32
2022-02-11,6270,6942,1413,907,39,179,91,32
2022-02-12,6270,6942,1413,907,39,171,91,20
2022-02-13,6270,6942,1413,907,39,174,90,20
2022-02-14,6270,6942,1413,907,35,175,88,20
2022-02-15,6270,6942,1413,907,35,174,88,20
2022-02-16,6270,6942,1413,907,33,175,88,20
2022-02-17,6270,6942,1413,907,30,173,88,20
2022-02-18,6270,6942,1413,907,29,169,87,20
2022-02-19,6270,6942,1413,907,32,165,87,20
2022-02-20,6270,6942,1413,907,33,165,86,20
2022-02-21,6270,6942,1413,907,32,165,86,20
2022-02-22,6270,6942,1413,907,34,164,89,19
2022-02-23,6270,6942,1413,907,34,163,89,19
2022-02-24,6270,6862,1413,907,33,165,87,19
2022-02-25,6270,6862,1413,907,28,164,87,19
2022-02-26,6270,6862,1413,907,26,161,87,19
2022-02-27,6270,6862,1413,907,26,160,88,19
2022-02-28,6270,6862,1413,907,25,160,87,19
2022-03-01,6270,6862,1413,907,24,160,87,19
2022-03-02,6270,6862,1413,907,23,159,87,19
2022-03-03,6270,6862,1413,907,23,159,87,19
2022-03-04,6270,6862,1413,907,23,159,87,19
2022-03-05,6270,6862,1410,905,23,159,85,17
2022-03-06,6270,6862,1410,905,23,159,85,17
2022-03-07,6270,6862,1410,905,23,159,85,17
2022-03-08,6270,6862,1410,905,23,159,85,17
2022-03-09,6270,6862,1410,905,23,159,85,17
2022-03-10,6270,6862,1410,905,23,159,85,17
2022-03-11,6270,6862,1410,905,23,159,84,17
2022-03-12,6270,6862,1410,905,23,159,84,17
2022-03-13,6270,6862,1410,905,23,159,84,17
2022-03-14,6270,6862,1410,905,23,159,84,17
2022-03-15,6270,6862,1410,905,23,159,83,17
2022-03-16,6270,6862,1410,905,23,159,83,17
2022-03-17,6270,6862,1410,905,23,159,83,17
2022-03-18,6270,6862,1410,905,23,159,83,17
2022-03-19,6270,6862,1410,905,23,159,83,17
2022-03-20,6270,6862,1410,905,1,102,56,13
2022-03-21,6270,6862,1410,905,0,3,1,0
2022-03-22,6270,6651,1387,855,0,6,1,0
2022-03-23,6270,6651,1387,855,0,3,1,0
2022-03-24,6270,6651,1387,865,0,2,2,1
2022-03-25,6270,6651,1387,865,0,1,2,1
2022-03-26,6270,6651,1387,865,0,1,2,1
2022-03-27,6270,6651,1387,865,0,2,1,0
2022-03-28,6270,6651,1387,865,0,2,1,0
2022-03-29,6270,6651,1387,865,0,1,2,0
2022-03-30,6270,6651,1387,865,0,2,2,0
2022-03-31,6270,6651,1387,865,0,4,2,0
2022-04-01,6270,6651,1387,865,0,4,2,0
2022-04-02,6270,6651,1387,865,0,3,3,1
2022-04-03,6270,6651,1387,865,0,3,3,1
2022-04-04,6270,6651,1387,865,0,3,3,1
2022-04-05,6270,6651,1387,865,0,2,3,1
2022-04-06,6770,6773,1437,915,0,2,0,0
2022-04-07,6770,6773,1437,915,0,2,0,0
2022-04-08,6770,6773,1437,915,0,1,0,0
2022-04-09,6770,6773,1437,915,0,1,0,0
2022-04-10,6770,6773,1437,915,0,1,0,0
2022-04-11,6770,6773,1437,915,0,1,0,0
2022-04-12,6770,6773,1437,915,0,1,0,0
2022-04-13,6770,6773,1437,915,0,1,0,0
2022-04-14,6770,6773,1437,915,0,1,0,0
2022-04-15,6770,6773,1437,915,0,1,0,0
2022-04-16,6770,6773,1437,915,0,1,0,0
2022-04-17,6770,6773,1437,915,0,1,0,0
2022-04-18,6770,6773,1437,915,0,1,0,0
2022-04-19,6770,6773,1437,915,0,1,0,0
2022-04-20,6770,6773,1437,915,0,2,0,0
2022-04-21,6770,6773,1437,915,0,2,0,0
2022-04-22,6770,6773,1437,915,0,2,0,0
2022-04-23,6770,6773,1437,915,0,2,0,0
2022-04-24,6770,6773,1437,915,0,2,0,0
2022-04-25,6770,6773,1437,915,0,2,0,0
2022-04-26,6770,6773,1437,915,0,2,0,0
2022-04-27,6770,6773,1437,915,0,2,0,0
2022-04-28,6770,6773,1437,915,0,2,0,0
2022-04-29,6770,6773,1437,915,0,2,0,0
2022-04-30,6770,6773,1437,915,0,2,0,0
2022-05-01,6755,6765,1429,914,0,2,0,0
2022-05-02,6755,6765,1429,914,0,2,0,0
2022-05-03,6755,6765,1429,914,0,2,0,0
2022-05-04,6755,6765,1429,914,0,2,0,0
2022-05-05,6755,6765,1429,914,0,2,0,0
2022-05-06,6755,6765,1429,914,0,2,0,0
2022-05-07,6755,6765,1429,914,0,2,0,0
2022-05-08,6755,6765,1429,914,0,2,0,0
2022-05-09,6755,6765,1429,914,0,2,0,0
2022-05-10,6755,6765,1429,914,0,2,0,0
2022-05-11,6755,6765,1429,914,0,2,0,0
2022-05-12,6755,6765,1429,914,0,2,0,0
2022-05-13,6755,6765,1429,914,0,2,0,0
2022-05-14,6755,6765,1429,914,0,2,0,0
2022-05-15,6755,6765,1429,914,0,2,0,0
2022-05-16,6755,6765,1429,914,0,2,0,0
2022-05-17,6755,6765,1429,914,0,2,0,0
2022-05-18,6755,6765,1429,914,0,2,0,0
2022-05-19,6755,6765,1429,914,0,2,0,0
2022-05-20,6755,6765,1429,914,0,2,0,0
2022-05-21,6755,6765,1429,914,0,2,0,0
2022-05-22,6755,6765,1429,914,0,2,0,0
2022-05-23,6755,6765,1429,914,0,2,0,0
2022-05-24,6755,6765,1429,914,0,2,0,0
2022-05-25,6755,6765,1429,914,0,2,0,0
2022-05-26,6755,6765,1429,914,0,2,0,0
2022-05-27,6755,6645,1429,914,0,2,0,0
2022-05-28,6755,6645,1429,914,0,2,0,0
2022-05-29,6755,6645,1429,914,0,2,0,0
2022-05-30,6755,6645,1429,914,0,2,0,0
2022-05-31,6755,6645,1429,914,0,2,0,0
2022-06-01,6755,6645,1429,914,0,2,0,0
2022-06-02,6755,6645,1429,914,0,2,0,0
2022-06-03,6755,6645,1429,914,0,2,0,0
2022-06-04,6755,6645,1429,914,1,2,0,0
2022-06-05,6755,6645,1429,914,1,2,0,0
2022-06-06,6755,6645,1429,914,1,2,0,0
2022-06-07,6755,6645,1429,914,1,2,0,0
2022-06-10,6755,6645,1429,914,1,3,0,0
2022-06-11,6755,6645,1429,914,1,3,0,0
2022-06-12,6755,6645,1429,914,1,3,0,0
2022-06-13,6755,6645,1429,914,1,3,0,0
2022-06-14,6755,6645,1429,914,1,3,0,0
2022-06-15,6755,6645,1429,914,1,3,0,0
2022-06-16,6755,6645,1429,914,1,3,0,0
2022-06-17,6755,6645,1429,914,1,3,0,0
2022-06-18,6755,6645,1429,914,1,2,0,0
2022-06-19,6755,6645,1429,914,1,2,0,0
2022-06-20,6755,6645,1429,914,1,2,0,0
2022-06-21,6755,6645,1429,914,1,2,0,0
2022-06-22,6755,6645,1429,914,1,2,0,0
2022-06-23,6755,6645,1429,914,1,2,0,0
2022-06-24,6755,6645,1429,914,2,2,0,0
2022-06-25,6755,6645,1429,914,2,2,0,0
2022-06-26,6755,6645,1429,914,2,2,0,0
2022-06-27,6755,6645,1429,914,2,2,0,0
2022-06-28,6755,6645,1429,914,2,2,0,0
2022-06-29,6755,6645,1429,914,2,2,0,0
2022-06-30,6755,6645,1429,914,2,2,0,0
2022-07-01,6755,6645,1429,914,1,2,0,0
2022-07-02,6755,6645,1429,914,1,2,0,0
2022-07-03,6755,6645,1429,914,1,2,0,0
2022-07-04,6755,6645,1429,914,1,2,0,0
2022-07-06,6755,6645,1429,914,0,2,0,0
2022-07-07,6755,6645,1429,914,0,2,0,0
2022-07-08,6755,6645,1429,914,0,2,0,0
2022-07-09,6755,6645,1429,914,0,2,0,0
2022-07-10,6755,6645,1429,914,0,2,0,0
2022-07-11,6755,6645,1429,914,0,2,0,0
2022-07-12,6755,6645,1429,914,1,2,0,0
2022-07-13,6755,6645,1429,914,1,2,0,0
2022-07-14,6755,6645,1429,914,1,2,0,0
2022-07-15,6755,6645,1429,914,1,4,0,0
2022-07-16,6755,6645,1429,914,1,4,0,0
2022-07-17,6755,6645,1429,914,2,4,0,0
2022-07-18,6755,6645,1429,914,1,4,0,0
2022-07-19,6755,6645,1429,914,1,6,0,0
2022-07-20,6755,6645,1429,914,1,5,0,0
2022-07-21,6755,6645,1429,914,1,5,0,0
2022-07-22,6755,6645,1429,914,1,9,0,0
2022-07-23,6755,6645,1429,914,3,9,0,0
2022-07-24,6755,6645,1429,914,3,9,0,0
2022-07-25,6755,6645,1429,914,4,7,0,0
2022-07-26,6755,6645,1429,914,4,9,0,0
2022-07-27,6755,6645,1429,914,8,7,1,0
2022-07-28,6755,6645,1429,914,7,8,1,0
2022-07-29,6755,6645,1429,914,7,8,1,0
2022-07-30,6755,6645,1429,914,8,8,1,0
2022-07-31,6755,6645,1429,914,8,8,2,1
2022-08-02,6755,6645,1429,914,9,7,1,1
2022-08-03,6755,6645,1429,914,9,6,1,1
2022-08-04,6755,6645,1429,914,8,5,1,1
2022-08-05,6755,6645,1429,914,3,6,1,0
2022-08-06,6755,6645,1429,914,1,7,2,0
2022-08-07,6755,6645,1429,914,1,7,2,0
2022-08-08,6755,6645,1429,914,2,6,2,0
2022-08-09,6755,6645,1429,914,2,6,2,0
2022-08-10,6755,6645,1429,914,2,6,2,0
2022-08-11,6755,6645,1429,914,2,6,2,0
2022-08-12,6755,6645,1429,914,2,9,2,0
2022-08-13,6755,6645,1429,914,2,8,1,0
2022-08-14,6755,6645,1429,914,2,8,1,0
2022-08-15,6755,6645,1429,914,2,8,1,0
2022-08-16,6755,6645,1429,914,2,4,0,0
2022-08-17,6755,6645,1429,914,2,4,0,0
2022-08-19,6755,6645,1429,914,2,5,0,0
2022-08-20,6755,6645,1429,914,2,6,0,0
2022-08-21,6755,6645,1429,914,2,6,2,0
2022-08-22,6755,6645,1429,914,6,5,2,0
2022-08-23,6755,6645,1429,914,6,4,2,0
2022-08-24,6755,6645,1429,914,7,4,2,0
2022-08-26,6755,6645,1429,914,4,4,3,0
2022-08-27,6755,6645,1429,914,3,4,2,0
2022-08-28,6755,6645,1429,914,3,4,1,0
2022-08-29,6755,6645,1429,914,3,4,0,0
2022-08-30,6755,6645,1429,914,2,4,0,0
2022-08-31,6755,6645,1429,914,2,5,0,0
2022-09-01,6755,6645,1429,914,2,5,2,1
2022-09-02,6755,6645,1429,914,2,5,3,1
2022-09-03,6755,6645,1429,914,2,6,3,1
2022-09-04,6755,6645,1429,914,2,6,3,1
2022-09-05,6755,6645,1429,914,1,5,3,1
2022-09-06,6755,6645,1429,914,1,5,2,1
2022-09-07,6755,6645,1429,914,1,5,1,1
2022-09-08,6755,6645,1429,914,1,4,2,1
2022-09-09,6755,6645,1429,914,1,4,1,1
2022-09-10,6755,6645,1429,914,1,6,1,1
2022-09-11,6755,6645,1429,914,1,6,1,1
2022-09-12,6755,6645,1429,914,1,6,1,1
2022-09-13,6755,6645,1429,914,1,6,2,1
2022-09-14,6755,6645,1429,914,1,4,1,1
2022-09-15,6755,6645,1429,914,1,4,1,1
2022-09-16,6755,6645,1429,914,1,3,1,1
2022-09-17,6755,6645,1429,914,1,3,1,1
2022-09-18,6755,6645,1429,914,1,3,1,1
2022-09-20,6755,6645,1429,914,1,3,1,1
2022-09-21,6755,6645,1429,914,1,3,1,1
2022-09-22,6755,6645,1429,914,1,3,1,1
2022-09-24,6755,6645,1429,914,1,2,1,0
2022-09-25,6755,6645,1429,914,1,2,1,0
2022-09-26,6755,6645,1429,914,1,2,1,0
2022-09-27,6755,6645,1429,914,1,2,0,0
2022-09-28,6755,6645,1429,914,1,2,0,0
2022-09-29,6755,6645,1429,914,1,2,0,0
2022-09-30,6755,6645,1429,914,1,2,0,0
2022-10-01,6755,6645,1429,914,1,2,0,0
2022-10-02,6755,6645,1429,914,1,2,0,0
2022-10-03,6755,6645,1429,914,1,2,0,0
2022-10-04,6755,6645,1429,914,1,2,0,0
2022-10-05,6755,6645,1429,914,1,2,0,0
2022-10-06,6755,6645,1429,914,1,2,0,0
2022-10-07,6755,6645,1429,914,1,2,0,0
2022-10-08,6755,6645,1429,914,1,2,0,0
2022-10-09,6755,6645,1429,914,1,2,0,0
2022-10-10,6755,6645,1429,914,1,2,0,0
2022-10-12,6755,6645,1429,914,1,2,0,0
2022-10-13,6755,6645,1429,914,1,2,0,0
2022-10-14,6755,6645,1429,914,1,2,0,0
2022-10-15,6755,6645,1429,914,1,2,0,0
2022-10-16,6755,6645,1429,914,1,2,0,0
2022-10-18,6755,6645,1429,914,1,2,0,0
2022-10-19,6755,6645,1429,914,1,2,0,0
2022-10-20,6755,6645,1429,914,1,2,0,0
2022-10-21,6755,6645,1429,914,1,2,0,0
2022-10-22,6755,6645,1429,914,1,2,0,0
2022-10-23,6755,6645,1429,914,1,2,0,0
2022-10-24,6755,6645,1429,914,1,2,0,0
2022-10-25,6755,6645,1429,914,1,2,0,0
2022-10-26,6755,6645,1429,914,1,2,0,0
2022-10-27,6755,6645,1429,914,1,2,0,0
2022-10-29,6755,6645,1429,914,1,2,0,0
2022-10-31,6755,6645,1429,914,1,2,0,0
2022-11-01,6755,6645,1429,914,1,2,0,0
2022-11-02,6755,6645,1429,914,1,2,0,0
2022-11-03,6755,6645,1429,914,1,2,0,0
2022-11-06,6755,6645,1429,914,1,2,0,0
2022-11-08,6755,6645,1429,914,1,2,0,0
2022-11-09,6755,6645,1429,914,1,2,0,0
2022-11-11,6755,6645,1429,914,1,2,0,0
2022-11-12,6755,6645,1429,914,1,2,0,0
2022-11-13,6755,6645,1429,914,1,2,0,0
2022-11-14,6755,6645,1429,914,1,2,0,0
2022-11-15,6755,6645,1429,914,1,2,0,0
2022-11-16,6755,6645,1429,914,1,2,0,0
2022-11-17,6755,6645,1429,914,1,2,0,0
2022-11-18,6755,6645,1429,914,1,2,0,0
2022-11-19,6755,6645,1429,914,1,2,0,0
2022-11-20,6755,6645,1429,914,1,2,0,0
2022-11-21,6755,6645,1429,914,1,2,0,0
2022-11-22,6755,6645,1429,914,1,3,0,0
2022-11-23,6755,6645,1429,914,1,3,0,0
2022-11-24,6755,6645,1429,914,1,3,0,0
2022-11-25,6755,6645,1429,914,1,3,0,0
2022-11-26,6755,6645,1429,914,1,3,0,0
2022-11-27,6755,6645,1429,914,1,3,0,0
2022-11-28,6755,6645,1429,914,1,3,0,0
2022-11-29,6755,6645,1429,914,1,3,0,0
2022-11-30,6755,6645,1429,914,1,3,0,0
2022-12-01,6755,6645,1429,914,1,3,0,0
2022-12-02,6755,6645,1429,914,1,3,0,0
2022-12-03,6755,6645,1429,914,1,2,0,0
2022-12-04,6755,6645,1429,914,1,2,0,0
2022-12-05,6755,6645,1429,914,1,2,0,0
2022-12-06,6755,6645,1429,914,1,2,0,0
2022-12-07,6755,6645,1429,914,1,2,0,0
2022-12-08,6755,6645,1429,914,1,2,0,0
2022-12-09,6755,6645,1429,914,1,2,0,0
2022-12-10,6755,6645,1429,914,1,2,0,0
2022-12-11,6755,6645,1429,914,1,2,0,0
2022-12-12,6755,6645,1429,914,1,2,0,0
2022-12-13,6755,6645,1429,914,1,2,0,0
2022-12-14,6755,6645,1429,914,1,2,0,0
2022-12-15,6755,6645,1429,914,1,2,0,0
2022-12-16,6755,6645,1429,914,1,2,0,0
2022-12-17,6755,6645,1429,914,1,2,0,0
2022-12-19,6755,6645,1429,914,1,2,0,0
2022-12-20,6755,6645,1429,914,1,2,0,0
2022-12-21,6755,6645,1429,914,1,2,0,0
2022-12-23,6755,6645,1429,914,1,2,0,0
2022-12-24,6755,6645,1429,914,1,2,0,0
2022-12-25,6755,6645,1429,914,1,2,0,0
2022-12-26,6755,6645,1429,914,1,2,0,0
2022-12-27,6755,6645,1429,914,1,2,0,0
2022-12-28,6755,6645,1429,914,1,2,0,0
2022-12-29,6755,6645,1429,914,1,2,0,0
2022-12-30,6755,6645,1429,914,1,2,0,0
2022-12-31,6755,6645,1429,914,1,2,0,0
2023-01-01,6755,6645,1429,914,1,2,0,0
2023-01-02,6883,6665,1429,914,1,2,0,0
2023-01-03,6883,6665,1429,914,1,2,0,0
2023-01-05,6883,6665,1419,914,1,2,0,0
2023-01-06,6883,6665,1421,915,1,2,0,0
2023-01-07,6883,6665,1421,915,1,2,0,0
2023-01-08,6883,6665,1421,915,1,2,0,0
2023-01-10,6883,6665,1421,915,1,2,0,0
2023-01-12,6883,6665,1421,915,1,2,0,0
2023-01-14,6883,6665,1421,915,1,2,0,0
2023-01-15,6883,6665,1421,915,1,2,0,0
2023-01-16,6883,6665,1421,915,1,2,0,0
2023-01-17,6883,6665,1421,915,1,2,0,0
2023-01-18,6883,6665,1421,915,1,2,0,0
2023-01-19,6883,6665,1421,915,1,2,0,0
2023-01-20,6883,6665,1421,915,1,2,0,0
2023-01-21,6883,6665,1421,915,1,2,0,0
2023-01-22,6883,6665,1421,915,1,2,0,0
2023-01-23,6883,6665,1421,915,1,2,0,0
2023-01-24,6883,6665,1421,915,1,2,0,0
2023-01-25,6883,6665,1421,915,1,2,0,0
2023-01-26,6883,6665,1421,915,1,2,0,0
2023-01-27,6883,6665,1421,915,1,2,0,0
2023-01-28,6883,6665,1421,915,1,2,0,0
2023-01-29,6883,6665,1421,915,1,2,0,0
2023-01-30,6883,6665,1421,915,1,2,0,0
2023-01-31,6883,6665,1421,915,1,2,0,0
