date,total_normal_beds,occupied_normal_beds
2020-07-01,10479,2421
2020-07-02,10489,2387
2020-07-03,10594,2463
2020-07-04,10600,2524
2020-07-05,10600,2582
2020-07-06,10607,2659
2020-07-07,10607,2817
2020-07-08,10657,2908
2020-07-09,10658,2921
2020-07-10,10830,2926
2020-07-11,10840,2910
2020-07-12,10862,2935
2020-07-13,10862,3093
2020-07-14,10832,3373
2020-07-15,10939,3499
2020-07-16,10992,3610
2020-07-17,11027,3836
2020-07-18,11227,3836
2020-07-19,11179,4109
2020-07-20,11239,4168
2020-07-21,11239,4250
2020-07-22,11239,4445
2020-07-23,11239,4501
2020-07-24,11239,4592
2020-07-25,11239,4575
2020-07-26,11239,4756
2020-07-27,11299,4750
2020-07-28,11299,4726
2020-07-29,11299,4532
2020-07-30,11299,4536
2020-07-31,11299,4440
2020-08-01,11299,4412
2020-08-02,11552,4375
2020-08-03,11560,4529
2020-08-04,11560,4482
2020-08-05,11560,4524
2020-08-06,11560,4599
2020-08-07,11560,4451
2020-08-08,11560,4403
2020-08-09,11560,4517
2020-08-10,11775,4382
2020-08-11,11775,4368
2020-08-12,11775,4306
2020-08-13,11775,4215
2020-08-14,11775,4189
2020-08-15,11775,4275
2020-08-16,11775,4256
2020-08-17,11775,4341
2020-08-18,11775,4335
2020-08-19,11825,4521
2020-08-20,11825,4285
2020-08-21,11935,4277
2020-08-22,12035,4418
2020-08-23,12035,4393
2020-08-24,12035,4280
2020-08-25,12035,4232
2020-08-26,12045,4215
2020-08-27,12045,4178
2020-08-28,12045,4041
2020-08-29,12045,4008
2020-08-30,12045,3937
2020-08-31,12045,3871
2020-09-01,12045,3984
2020-09-02,12045,3944
2020-09-03,12275,3972
2020-09-04,12275,3985
2020-09-05,12355,4193
2020-09-06,12355,4199
2020-09-07,12355,4157
2020-09-08,12385,4170
2020-09-09,12385,4078
2020-09-10,12385,4056
2020-09-11,12505,4061
2020-09-12,12675,4180
2020-09-13,12675,4101
2020-09-14,12675,4076
2020-09-15,12675,4166
2020-09-16,12675,4194
2020-09-17,12675,4232
2020-09-18,12675,4256
2020-09-19,12675,4289
2020-09-20,12675,4301
2020-09-21,12675,4200
2020-09-22,12675,4251
2020-09-23,12675,4300
2020-09-24,12675,4409
2020-09-25,12675,4494
2020-09-26,12675,4495
2020-09-27,12675,4574
2020-09-28,12675,4555
2020-09-29,12675,4533
2020-09-30,12715,4493
2020-10-01,12715,4507
2020-10-02,12715,4707
2020-10-03,12715,4755
2020-10-04,12715,4724
2020-10-05,12715,4723
2020-10-06,12715,4831
2020-10-07,12715,4782
2020-10-08,12715,4836
2020-10-09,12715,4779
2020-10-10,12715,4685
2020-10-11,12715,4755
2020-10-12,12715,4554
2020-10-13,12715,4759
2020-10-14,12715,4643
2020-10-15,12715,4816
2020-10-16,12715,4788
2020-10-17,12715,4808
2020-10-18,12751,4758
2020-10-19,12751,4780
2020-10-20,12751,4826
2020-10-21,12751,4757
2020-10-22,12751,4808
2020-10-23,12751,4759
2020-10-24,12751,4836
2020-10-25,12751,4628
2020-10-26,12751,4696
2020-10-27,12751,4543
2020-10-28,12811,4556
2020-10-29,12811,4474
2020-10-30,12811,4459
2020-10-31,12811,4456
2020-11-01,12811,4495
2020-11-02,12966,4517
2020-11-03,12966,4246
2020-11-04,12966,4283
2020-11-05,12966,4562
2020-11-06,13498,4550
2020-11-07,13498,4646
2020-11-08,13508,4672
2020-11-09,13508,4592
2020-11-10,13508,4540
2020-11-11,13508,4540
2020-11-12,13508,4464
2020-11-13,13508,4394
2020-11-14,13508,4213
2020-11-15,13508,4048
2020-11-16,13508,4055
2020-11-17,13508,3937
2020-11-18,13508,3929
2020-11-19,13508,3913
2020-11-20,13508,3847
2020-11-21,13508,3957
2020-11-22,13508,3902
2020-11-23,13508,3980
2020-11-24,13508,3941
2020-11-25,13534,3813
2020-11-26,13534,3786
2020-11-27,13534,3809
2020-11-28,13534,3797
2020-11-29,13534,3808
2020-11-30,13534,3777
2020-12-01,13538,3693
2020-12-02,13538,3594
2020-12-03,11507,2997
2020-12-04,11507,2943
2020-12-05,11507,2907
2020-12-06,11507,2862
2020-12-07,13588,3303
2020-12-08,11507,2729
2020-12-09,11507,2705
2020-12-10,11507,2632
2020-12-11,11507,2613
2020-12-12,11507,2556
2020-12-13,13588,2935
2020-12-14,13588,2838
2020-12-15,13588,2739
2020-12-16,13588,2648
2020-12-17,13588,2542
2020-12-18,13588,2479
2020-12-19,13588,2386
2020-12-20,13588,2267
2020-12-21,13588,2217
2020-12-22,13588,2155
2020-12-23,13588,2062
2020-12-24,13588,2006
2020-12-25,13588,1945
2020-12-26,13588,1808
2020-12-27,13588,1773
2020-12-28,13588,1748
2020-12-29,13588,1653
2020-12-30,13588,1619
2020-12-31,13588,1565
2021-01-01,13588,1485
2021-01-02,13588,1456
2021-01-03,13588,1394
2021-01-04,13588,1361
2021-01-05,13588,1290
2021-01-06,13588,1266
2021-01-07,13588,1233
2021-01-08,13588,1232
2021-01-09,13588,1198
2021-01-10,13588,1160
2021-01-11,12840,1128
2021-01-12,12840,1119
2021-01-13,12840,1086
2021-01-14,12840,1054
2021-01-15,12840,1052
2021-01-16,12440,951
2021-01-17,12440,919
2021-01-18,12440,869
2021-01-19,12440,822
2021-01-20,12440,776
2021-01-21,12440,750
2021-01-22,12440,721
2021-01-23,12440,716
2021-01-24,12440,695
2021-01-25,12440,771
2021-01-26,12440,722
2021-01-27,12440,691
2021-01-28,12440,675
2021-01-29,12440,758
2021-01-30,12440,725
2021-01-31,12440,692
2021-02-01,12440,651
2021-02-02,12440,598
2021-02-03,12440,583
2021-02-04,12440,549
2021-02-05,12440,519
2021-02-06,12440,506
2021-02-07,12440,477
2021-02-08,12440,442
2021-02-09,12440,416
2021-02-10,12440,406
2021-02-11,12440,394
2021-02-12,12440,393
2021-02-13,12440,399
2021-02-14,12440,389
2021-02-15,12440,379
2021-02-16,12440,360
2021-02-17,12440,348
2021-02-18,12440,334
2021-02-19,8727,240
2021-02-20,8727,226
2021-02-21,8727,213
2021-02-22,8727,216
2021-02-23,8727,205
2021-02-24,8727,274
2021-02-25,6736,212
2021-02-26,6736,222
2021-02-27,6736,208
2021-02-28,6736,212
2021-03-01,6736,218
2021-03-02,6736,212
2021-03-03,6736,216
2021-03-04,6736,218
2021-03-05,6736,220
2021-03-06,6736,233
2021-03-07,6736,243
2021-03-08,6736,249
2021-03-09,6736,229
2021-03-10,6736,233
2021-03-11,6736,224
2021-03-12,6736,220
2021-03-13,6736,233
2021-03-14,6736,235
2021-03-15,5589,239
2021-03-16,5589,229
2021-03-17,5589,248
2021-03-18,5589,257
2021-03-19,5589,258
2021-03-20,5589,274
2021-03-21,5589,270
2021-03-22,5604,291
2021-03-23,5604,316
2021-03-24,5604,336
2021-03-25,5604,360
2021-03-26,5604,383
2021-03-27,5604,405
2021-03-28,5604,419
2021-03-29,5604,359
2021-03-30,5604,443
2021-03-31,5604,480
2021-04-01,5604,558
2021-04-02,5604,634
2021-04-03,5604,712
2021-04-04,5604,851
2021-04-05,5604,938
2021-04-06,5604,1061
2021-04-07,5604,1250
2021-04-08,5604,1471
2021-04-09,5604,1681
2021-04-10,5604,1844
2021-04-11,5604,1958
2021-04-12,5604,1577
2021-04-13,5604,1742
2021-04-14,5604,1801
2021-04-15,5604,1921
2021-04-16,5604,2046
2021-04-17,5604,2218
2021-04-18,5604,2385
2021-04-19,7776,3478
2021-04-20,7776,3761
2021-04-21,8194,3865
2021-04-22,8194,4074
2021-04-23,9220,4287
2021-04-24,9220,4324
2021-04-25,9646,4682
2021-04-26,12352,4839
2021-04-27,12352,5303
2021-04-28,12352,5575
2021-04-29,12352,5705
2021-04-30,12352,5617
2021-05-01,13227,6155
2021-05-02,15483,6312
2021-05-03,15483,6829
2021-05-04,16010,6596
2021-05-05,16414,6792
2021-05-06,16939,6973
2021-05-07,17009,7278
2021-05-08,17200,7351
2021-05-09,17200,7684
2021-05-10,18602,7764
2021-05-11,18629,7816
2021-05-12,19458,7915
