date,new_cases,tot_tests_to_date,dhc_dchc_occupied,dccc_occupied,home_isolation
2020-08-01,99,103818,77,111,731
2020-08-02,79,105708,89,109,685
2020-08-03,43,106925,72,106,648
2020-08-04,46,107632,72,103,582
2020-08-05,64,110151,78,100,547
2020-08-06,83,112870,64,88,565
2020-08-07,54,115456,65,79,554
2020-08-08,99,118180,76,77,530
2020-08-09,80,120494,67,73,523
2020-08-10,57,122501,89,31,537
2020-08-11,69,124919,76,29,554
2020-08-12,98,127255,84,26,564
2020-08-13,78,129075,98,31,577
2020-08-14,92,130878,75,31,585
2020-08-15,77,132879,78,35,589
2020-08-16,78,135024,96,25,573
2020-08-17,97,136733,91,24,605
2020-08-18,98,138921,98,22,643
2020-08-19,84,141427,102,20,632
2020-08-20,94,142466,111,11,634
2020-08-21,120,143712,98,8,705
2020-08-22,102,145041,106,6,707
2020-08-23,113,147088,88,9,765
2020-08-24,77,149203,109,7,711
2020-08-25,114,151390,88,10,760
2020-08-26,126,153914,85,10,795
2020-08-27,141,156422,109,15,813
2020-08-28,126,158528,111,17,845
2020-08-29,124,160929,117,19,791
2020-08-30,125,162723,119,19,827
2020-08-31,113,164724,120,16,858
2020-09-01,196,166966,151,20,877
2020-09-02,184,169015,148,20,977
2020-09-03,224,171281,151,26,1088
2020-09-04,229,173775,140,26,1206
2020-09-05,265,176023,162,26,1332
2020-09-06,306,178684,175,25,1486
2020-09-07,147,181230,183,27,1472
2020-09-08,258,183903,175,32,1553
2020-09-09,260,186610,173,23,1662
2020-09-10,309,189355,187,24,1740
2020-09-11,289,192543,199,21,1820
2020-09-12,326,196081,198,25,1945
2020-09-13,339,199833,189,35,2008
2020-09-14,336,203146,201,36,2080
2020-09-15,324,207162,200,36,2203
2020-09-16,421,210852,213,38,2403
2020-09-17,394,214691,218,36,2466
2020-09-18,339,218008,215,37,2503
2020-09-19,360,221634,222,37,2522
2020-09-20,405,225152,239,31,2523
2020-09-21,314,228467,232,17,2562
2020-09-22,372,231468,242,19,2503
2020-09-23,286,234273,244,16,2629
2020-09-24,288,237422,243,15,2732
2020-09-25,279,240456,233,17,2592
2020-09-26,273,243506,239,17,2402
2020-09-27,274,246664,232,16,2312
2020-09-28,261,249738,228,25,2257
2020-09-29,242,252981,232,30,2149
2020-09-30,282,256018,226,23,2158
2020-10-01,208,259520,200,23,2148
2020-10-02,261,262875,203,22,2141
2020-10-03,277,265937,217,23,2145
2020-10-04,287,268938,184,25,2199
2020-10-05,206,271694,191,25,2185
2020-10-06,266,274698,169,22,2186
2020-10-07,293,277702,157,22,2208
2020-10-08,264,280719,168,21,2211
2020-10-09,261,283927,167,18,2244
2020-10-10,264,287139,157,17,2264
2020-10-12,274,293177,165,16,2253
2020-10-13,250,296251,160,11,2303
2020-10-14,269,299319,163,11,2153
2020-10-15,255,302328,141,10,2229
2020-10-16,294,305335,172,11,2313
2020-10-17,271,308340,184,10,2251
2020-10-18,249,311342,174,11,2213
2020-10-19,228,313848,174,9,2189
2020-10-20,255,316631,162,13,2195
2020-10-21,304,319636,153,12,2259
2020-10-22,324,322682,172,16,2380
2020-10-23,351,326214,179,14,2450
2020-10-24,398,329514,187,14,2570
2020-10-25,366,332766,191,14,2666
2020-10-26,346,335391,191,10,2688
2020-10-27,346,338613,200,8,2781
2020-10-28,397,341867,191,9,2951
2020-10-29,398,345107,191,9,3103
2020-10-30,398,348284,197,5,3190
2020-10-31,498,351324,220,7,3295
2020-11-01,529,354327,214,7,3486
2020-11-02,398,356830,191,8,3600
2020-11-03,460,360168,236,11,3595
2020-11-04,611,363203,243,9,3856
2020-11-05,555,366513,255,7,3993
2020-11-06,704,370534,293,8,4261
2020-11-07,523,374692,293,8,4261
2020-11-08,964,378414,309,9,4865
2020-11-09,697,382422,339,10,4994
2020-11-10,714,386515,367,11,5189
2020-11-11,726,390548,396,11,5473
2020-11-12,692,394709,408,13,5689
2020-11-13,797,398541,408,10,5801
2020-11-14,504,402610,410,11,5722
2020-11-15,515,405457,405,10,5575
2020-11-16,546,407981,419,9,5321
2020-11-17,588,411482,427,8,5010
2020-11-18,659,415486,428,8,5008
2020-11-19,645,419810,426,7,5110
2020-11-20,793,425846,443,9,5033
2020-11-21,939,432349,447,7,5232
2020-11-22,649,442549,422,7,5264
2020-11-23,866,448555,448,4,5490
2020-11-24,822,455057,424,4,5657
2020-11-25,661,461321,435,13,5733
2020-11-26,698,467605,442,12,5984
2020-11-27,698,473708,455,12,5996
2020-11-28,668,480213,431,14,5922
2020-11-29,479,505314,391,12,5757
2020-11-30,494,511064,441,15,5809
2020-12-01,495,516629,376,16,5700
2020-12-02,498,522133,306,17,5065
2020-12-03,437,527633,330,17,4668
2020-12-04,423,533423,286,18,4078
2020-12-05,395,539170,262,15,3515
2020-12-06,310,549172,247,15,3124
2020-12-07,356,553682,235,12,2625
2020-12-08,418,558355,243,11,2700
2020-12-09,436,563792,206,11,2492
2020-12-10,398,568797,212,9,2494
2020-12-11,296,573307,201,8,2155
2020-12-12,276,577826,150,8,2047
2020-12-13,275,583970,196,8,2046
2020-12-14,197,587709,195,6,1955
2020-12-15,195,592120,184,6,1667
2020-12-16,230,596257,118,6,1750
2020-12-17,108,600584,187,4,1483
2020-12-18,152,604807,136,4,1578
2020-12-19,151,608929,157,4,1425
2020-12-20,128,615273,143,4,1365
2020-12-21,127,619275,143,3,1232
2020-12-22,92,623625,120,3,1217
2020-12-23,110,627649,124,4,1166
2020-12-24,113,631870,112,3,1127
2020-12-25,81,636011,111,3,1074
2020-12-26,99,640074,94,3,1037
2020-12-27,71,645412,82,3,974
2020-12-28,81,648592,88,4,918
2020-12-29,94,652041,85,4,886
2020-12-30,96,656409,87,5,883
2020-12-31,61,660655,81,4,854
2021-01-01,64,664166,80,4,806
2021-01-02,64,667302,80,4,786
2021-01-03,63,670797,82,4,742
2021-01-04,66,673330,84,4,723
2021-01-05,35,676031,83,3,699
2021-01-06,99,678855,80,3,706
2021-01-07,82,682112,75,3,688
2021-01-08,63,685308,75,3,632
2021-01-09,88,688400,71,3,698
2021-01-10,73,692421,79,3,697
2021-01-11,72,695225,71,3,715
2021-01-12,56,698226,64,3,683
2021-01-13,51,700871,63,3,669
2021-01-14,34,703274,59,3,618
2021-01-15,28,705542,61,3,574
2021-01-16,35,708045,61,3,527
2021-01-17,45,711509,58,3,497
2021-01-18,32,713511,61,3,430
2021-01-19,31,715856,44,3,411
2021-01-20,16,718428,39,3,369
2021-01-21,39,720755,23,3,410
2021-01-22,24,723001,39,3,381
2021-01-23,24,725588,29,3,382
2021-01-24,39,727897,35,3,380
2021-01-25,28,729612,31,2,367
2021-01-26,34,731593,32,2,373
2021-01-27,20,733480,35,2,363
2021-01-28,19,735526,36,2,346
2021-01-29,39,737566,31,4,345
2021-01-30,35,740085,33,4,359
2021-01-31,18,742619,30,4,355
2021-02-01,30,744496,32,4,336
2021-02-03,14,750480,37,4,334
2021-02-04,14,754112,32,4,322
2021-02-05,23,757665,32,4,324
2021-02-06,15,760699,33,4,310
2021-02-07,15,763731,32,4,296
2021-02-08,22,766190,29,4,303
2021-02-09,22,769111,34,4,304
2021-02-10,28,771762,30,4,317
2021-02-11,36,774644,31,1,333
2021-02-12,29,777283,29,1,335
2021-02-13,22,779817,34,1,340
2021-02-14,20,782466,30,1,349
2021-02-15,38,784692,31,0,371
2021-02-16,24,787281,30,0,263
2021-02-17,17,789731,27,0,251
2021-02-18,18,792301,27,0,231
2021-02-19,22,794826,35,0,213
2021-02-20,25,797403,28,0,195
2021-02-21,30,799758,32,0,204
2021-02-22,23,802048,35,0,198
2021-02-23,48,804514,35,0,204
2021-02-24,39,807274,38,0,208
2021-02-25,36,810304,36,0,233
2021-02-26,29,813365,33,0,239
2021-02-27,62,816575,32,0,274
2021-02-28,56,820043,32,0,306
2021-03-01,36,823050,35,0,308
2021-03-02,48,826082,38,0,308
2021-03-03,44,829187,40,0,310
2021-03-04,52,832630,36,1,329
2021-03-05,51,835754,41,1,346
2021-03-06,48,838795,37,1,347
2021-03-07,63,841836,40,1,356
2021-03-08,39,844468,42,1,355
2021-03-09,75,847984,37,1,399
2021-03-10,80,851180,37,1,433
2021-03-11,81,854543,45,1,467
2021-03-12,88,857548,44,1,506
2021-03-13,72,860707,44,1,533
2021-03-14,65,863797,50,1,520
2021-03-15,81,866610,52,1,531
2021-03-16,84,869964,57,1,555
2021-03-17,97,873496,60,1,574
2021-03-18,104,877122,58,1,600
2021-03-19,184,881443,62,1,679
2021-03-20,141,885498,64,1,755
2021-03-21,181,889710,66,1,867
2021-03-22,121,893381,68,3,902
2021-03-23,188,897003,75,3,1010
2021-03-24,186,901050,85,3,1091
2021-03-25,256,905253,90,5,1244
2021-03-26,269,910528,101,5,1332
2021-04-01,381,937622,171,5,1972
2021-04-03,606,948721,205,5,2417
2021-04-04,555,954830,197,5,2770
2021-04-05,581,960836,222,5,2941
2021-04-06,604,966963,252,5,3355
2021-04-07,611,974114,253,5,3647
2021-04-08,741,981131,289,6,4160
2021-04-09,703,989174,327,6,4258
2021-04-10,864,997182,361,10,4642
2021-04-11,1084,1005253,374,10,5165
2021-04-12,1132,1013617,278,10,5889
2021-04-13,998,1022162,432,10,6018
