date,district,total_o2_beds,total_nono2_beds,total_icu_beds,total_ccc_beds,occupied_o2_beds,occupied_nono2_beds,occupied_icu_beds,occupied_ccc_beds
2021-05-07,Ariyalur,262,19,45,363,218,11,5,70
2021-05-07,Chengalpattu,1325,1981,555,2115,1242,1165,535,525
2021-05-07,Chennai,5849,4234,1735,6138,5591,3030,1723,3358
2021-05-07,Coimbatore,2618,2320,534,2137,2559,1496,509,1939
2021-05-07,Cuddalore,319,604,102,1787,280,405,93,910
2021-05-07,Dharmapuri,267,154,141,671,267,132,141,153
2021-05-07,Dindigul,559,448,75,966,401,220,56,244
2021-05-07,Erode,859,331,120,2580,752,206,101,455
2021-05-07,Kallakurichi,332,267,64,670,263,150,24,172
2021-05-07,Kancheepuram,617,1000,113,1250,578,490,105,371
2021-05-07,Kanniyakumari,1054,923,219,910,733,639,159,172
2021-05-07,Karur,562,359,108,667,274,241,58,194
2021-05-07,Krishnagiri,788,151,65,480,596,107,38,166
2021-05-07,Madurai,1909,1479,737,1751,1618,1153,575,697
2021-05-07,Nagapattinam,215,352,45,334,167,242,17,207
2021-05-07,Namakkal,576,292,96,575,493,162,68,291
2021-05-07,Nilgiris,274,180,34,325,237,76,22,177
2021-05-07,Perambalur,199,432,33,332,81,230,10,149
2021-05-07,Pudukkottai,438,387,85,494,126,149,40,80
2021-05-07,Ramanathapuram,324,183,59,475,194,89,15,110
2021-05-07,Ranipet,260,284,29,936,216,168,27,667
2021-05-07,Salem,1513,1109,435,1630,1352,968,391,714
2021-05-07,Sivagangai,778,498,164,240,268,346,126,12
2021-05-07,Tenkasi,140,149,43,657,104,90,34,89
2021-05-07,Thanjavur,741,1010,283,1437,574,555,250,673
2021-05-07,Theni,393,344,81,760,293,244,44,432
2021-05-07,Thiruchirappalli,1152,1023,299,1397,974,755,248,776
2021-05-07,Thirupathur,314,195,37,938,230,195,35,548
2021-05-07,Thiruvarur,258,494,134,405,215,215,30,243
2021-05-07,Thoothukudi,403,245,75,545,354,105,32,362
2021-05-07,Tirunelveli,975,465,227,976,722,218,213,138
2021-05-07,Tiruppur,621,425,96,735,522,301,82,444
2021-05-07,Tiruvallur,1085,294,207,1950,914,195,207,973
2021-05-07,Tiruvannamalai,299,153,54,1570,228,99,34,947
2021-05-07,Vellore,1108,338,249,1438,1042,136,247,522
